2017-02-05 16:27:07 INFO  BlockManagerInfo:54 - Removed broadcast_7_piece0 on 192.168.0.103:63440 in memory (size: 518.3 KB, free: 1992.0 MB)
2017-02-05 16:27:07 INFO  BlockManagerInfo:54 - Removed broadcast_6_piece0 on 192.168.0.103:63440 in memory (size: 516.9 KB, free: 1992.5 MB)
2017-02-05 16:27:16 INFO  Executor:54 - Finished task 0.0 in stage 4.0 (TID 4). 836133 bytes result sent to driver
2017-02-05 16:27:16 INFO  TaskSetManager:54 - Finished task 0.0 in stage 4.0 (TID 4) in 8896 ms on localhost (1/1)
2017-02-05 16:27:16 INFO  DAGScheduler:54 - ResultStage 4 (collect at GSO_SparkMain.java:160) finished in 8.896 s
2017-02-05 16:27:16 INFO  TaskSchedulerImpl:54 - Removed TaskSet 4.0, whose tasks have all completed, from pool 
2017-02-05 16:27:16 INFO  DAGScheduler:54 - Job 4 finished: collect at GSO_SparkMain.java:160, took 8.914891 s
2017-02-05 16:27:16 INFO  MemoryStore:54 - Block broadcast_10 stored as values in memory (estimated size 2.0 MB, free 1986.7 MB)
2017-02-05 16:27:16 INFO  MemoryStore:54 - Block broadcast_10_piece0 stored as bytes in memory (estimated size 557.1 KB, free 1986.1 MB)
2017-02-05 16:27:16 INFO  BlockManagerInfo:54 - Added broadcast_10_piece0 in memory on 192.168.0.103:63440 (size: 557.1 KB, free: 1992.0 MB)
2017-02-05 16:27:16 INFO  SparkContext:54 - Created broadcast 10 from broadcast at GSO_SparkMain.java:150
2017-02-05 16:27:16 INFO  GSO_SparkMain:153 - ******************Iteration: 5***************************
2017-02-05 16:27:16 INFO  SparkContext:54 - Starting job: collect at GSO_SparkMain.java:160
2017-02-05 16:27:16 INFO  DAGScheduler:54 - Got job 5 (collect at GSO_SparkMain.java:160) with 1 output partitions
2017-02-05 16:27:16 INFO  DAGScheduler:54 - Final stage: ResultStage 5 (collect at GSO_SparkMain.java:160)
2017-02-05 16:27:16 INFO  DAGScheduler:54 - Parents of final stage: List()
2017-02-05 16:27:16 INFO  DAGScheduler:54 - Missing parents: List()
2017-02-05 16:27:16 INFO  DAGScheduler:54 - Submitting ResultStage 5 (MapPartitionsRDD[17] at map at GSO_SparkMain.java:160), which has no missing parents
2017-02-05 16:27:16 INFO  MemoryStore:54 - Block broadcast_11 stored as values in memory (estimated size 816.2 KB, free 1985.3 MB)
2017-02-05 16:27:16 INFO  MemoryStore:54 - Block broadcast_11_piece0 stored as bytes in memory (estimated size 558.7 KB, free 1984.8 MB)
2017-02-05 16:27:16 INFO  BlockManagerInfo:54 - Added broadcast_11_piece0 in memory on 192.168.0.103:63440 (size: 558.7 KB, free: 1991.5 MB)
2017-02-05 16:27:16 INFO  SparkContext:54 - Created broadcast 11 from broadcast at DAGScheduler.scala:1012
2017-02-05 16:27:16 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ResultStage 5 (MapPartitionsRDD[17] at map at GSO_SparkMain.java:160)
2017-02-05 16:27:16 INFO  TaskSchedulerImpl:54 - Adding task set 5.0 with 1 tasks
2017-02-05 16:27:16 WARN  TaskSetManager:66 - Stage 5 contains a task of very large size (816 KB). The maximum recommended task size is 100 KB.
2017-02-05 16:27:16 INFO  TaskSetManager:54 - Starting task 0.0 in stage 5.0 (TID 5, localhost, partition 0, PROCESS_LOCAL, 836534 bytes)
2017-02-05 16:27:16 INFO  Executor:54 - Running task 0.0 in stage 5.0 (TID 5)
2017-02-05 16:27:17 INFO  BlockManagerInfo:54 - Removed broadcast_9_piece0 on 192.168.0.103:63440 in memory (size: 547.2 KB, free: 1992.0 MB)
2017-02-05 16:27:17 INFO  BlockManagerInfo:54 - Removed broadcast_8_piece0 on 192.168.0.103:63440 in memory (size: 545.6 KB, free: 1992.5 MB)
2017-02-05 16:27:25 INFO  Executor:54 - Finished task 0.0 in stage 5.0 (TID 5). 852494 bytes result sent to driver
2017-02-05 16:27:25 INFO  TaskSetManager:54 - Finished task 0.0 in stage 5.0 (TID 5) in 9399 ms on localhost (1/1)
2017-02-05 16:27:25 INFO  TaskSchedulerImpl:54 - Removed TaskSet 5.0, whose tasks have all completed, from pool 
2017-02-05 16:27:25 INFO  DAGScheduler:54 - ResultStage 5 (collect at GSO_SparkMain.java:160) finished in 9.399 s
2017-02-05 16:27:25 INFO  DAGScheduler:54 - Job 5 finished: collect at GSO_SparkMain.java:160, took 9.428968 s
2017-02-05 16:27:25 INFO  MemoryStore:54 - Block broadcast_12 stored as values in memory (estimated size 2.2 MB, free 1986.4 MB)
2017-02-05 16:27:25 INFO  MemoryStore:54 - Block broadcast_12_piece0 stored as bytes in memory (estimated size 565.1 KB, free 1985.9 MB)
2017-02-05 16:27:25 INFO  BlockManagerInfo:54 - Added broadcast_12_piece0 in memory on 192.168.0.103:63440 (size: 565.1 KB, free: 1992.0 MB)
2017-02-05 16:27:25 INFO  SparkContext:54 - Created broadcast 12 from broadcast at GSO_SparkMain.java:150
2017-02-05 16:27:25 INFO  GSO_SparkMain:153 - ******************Iteration: 6***************************
2017-02-05 16:27:25 INFO  BlockManagerInfo:54 - Removed broadcast_11_piece0 on 192.168.0.103:63440 in memory (size: 558.7 KB, free: 1992.5 MB)
2017-02-05 16:27:25 INFO  BlockManagerInfo:54 - Removed broadcast_10_piece0 on 192.168.0.103:63440 in memory (size: 557.1 KB, free: 1993.1 MB)
2017-02-05 16:27:25 INFO  BlockManagerInfo:54 - Removed broadcast_1_piece0 on 192.168.0.103:63440 in memory (size: 250.1 KB, free: 1993.3 MB)
2017-02-05 16:27:25 INFO  BlockManagerInfo:54 - Removed broadcast_0_piece0 on 192.168.0.103:63440 in memory (size: 248.4 KB, free: 1993.5 MB)
2017-02-05 16:27:25 INFO  SparkContext:54 - Starting job: collect at GSO_SparkMain.java:160
2017-02-05 16:27:25 INFO  DAGScheduler:54 - Got job 6 (collect at GSO_SparkMain.java:160) with 1 output partitions
2017-02-05 16:27:25 INFO  DAGScheduler:54 - Final stage: ResultStage 6 (collect at GSO_SparkMain.java:160)
